The sum of 875 and <extra_id_0>21 is 1096,2
The sum of 875 and 221 is <extra_id_0>096,1
The sum of <extra_id_0>33 and 27 is 360,3
The sum of 333 and <extra_id_0>7 is 360,2
The sum of 855 and 7<extra_id_0>8 is 1583,2
The sum of 855 and 728 is 1<extra_id_0>83,5
The sum of 735 and 5<extra_id_0>4 is 1249,1
The sum of 735 and 514 is 1<extra_id_0>49,2
The sum of <extra_id_0>27 and 728 is 1655,9
The sum of 927 and 728 is 1<extra_id_0>55,6
The sum of 310 and 909 is 12<extra_id_0>9,1
The sum of 310 and 9<extra_id_0>9 is 1219,0
The sum of 955 and <extra_id_0>3 is 1018,6
The sum of <extra_id_0>55 and 63 is 1018,9
The sum of 271 and 240 is 5<extra_id_0>1,1
The sum of 271 and <extra_id_0>40 is 511,2
The sum of <extra_id_0>88 and 925 is 1613,6
The sum of 688 and 925 is 1<extra_id_0>13,6
The sum of <extra_id_0>66 and 474 is 1040,5
The sum of 566 and 4<extra_id_0>4 is 1040,7
The sum of 424 and <extra_id_0>37 is 1161,7
The sum of 424 and 737 is 11<extra_id_0>1,6
The sum of <extra_id_0>50 and 637 is 1087,4
The sum of 450 and 637 is 1<extra_id_0>87,0
The sum of 122 and <extra_id_0>26 is 248,1
The sum of 122 and 126 is 2<extra_id_0>8,4
The sum of 1<extra_id_0>8 and 618 is 776,5
The sum of 158 and 618 is 7<extra_id_0>6,7
The sum of 3<extra_id_0>4 and 227 is 541,1
The sum of 314 and <extra_id_0>27 is 541,2
The sum of <extra_id_0>05 and 195 is 500,3
The sum of 305 and 1<extra_id_0>5 is 500,9
The sum of 443 and 9<extra_id_0>1 is 1394,5
The sum of 443 and 951 is 13<extra_id_0>4,9
The sum of 619 and <extra_id_0>43 is 1262,6
The sum of 619 and 643 is <extra_id_0>262,1
The sum of 333 and 343 is 6<extra_id_0>6,7
The sum of 333 and 3<extra_id_0>3 is 676,4
The sum of 86 and 7<extra_id_0>3 is 839,5
The sum of <extra_id_0>6 and 753 is 839,8
The sum of 494 and 914 is 14<extra_id_0>8,0
The sum of <extra_id_0>94 and 914 is 1408,4
The sum of 707 and 393 is 1<extra_id_0>00,1
The sum of <extra_id_0>07 and 393 is 1100,7
The sum of 308 and 1<extra_id_0>1 is 499,9
The sum of 308 and 191 is <extra_id_0>99,4
The sum of 375 and 34 is 4<extra_id_0>9,0
The sum of 375 and <extra_id_0>4 is 409,3
The sum of 827 and <extra_id_0>07 is 1234,4
The sum of 827 and 407 is 1<extra_id_0>34,2
The sum of 51 and <extra_id_0>34 is 885,8
The sum of <extra_id_0>1 and 834 is 885,5
The sum of <extra_id_0>4 and 670 is 684,1
The sum of 14 and 670 is 6<extra_id_0>4,8
The sum of 5<extra_id_0>6 and 991 is 1497,0
The sum of 506 and 991 is <extra_id_0>497,1
The sum of <extra_id_0>84 and 811 is 1195,3
The sum of 384 and 811 is <extra_id_0>195,1
The sum of 211 and 7<extra_id_0>8 is 949,3
The sum of <extra_id_0>11 and 738 is 949,2
The sum of 38 and 551 is 5<extra_id_0>9,8
The sum of <extra_id_0>8 and 551 is 589,3
The sum of 366 and 7<extra_id_0>1 is 1107,4
The sum of 3<extra_id_0>6 and 741 is 1107,6
The sum of 287 and 5<extra_id_0>0 is 827,4
The sum of 2<extra_id_0>7 and 540 is 827,8
The sum of 902 and 75 is 9<extra_id_0>7,7
The sum of 902 and <extra_id_0>5 is 977,7
The sum of 96 and <extra_id_0>76 is 472,3
The sum of 96 and 376 is <extra_id_0>72,4
The sum of <extra_id_0>05 and 263 is 868,6
The sum of 605 and 263 is <extra_id_0>68,8
The sum of 98 and 398 is <extra_id_0>96,4
The sum of 98 and <extra_id_0>98 is 496,3
The sum of 776 and 105 is 8<extra_id_0>1,8
The sum of 776 and 1<extra_id_0>5 is 881,0
The sum of 779 and 5<extra_id_0>6 is 1285,0
The sum of 7<extra_id_0>9 and 506 is 1285,7
The sum of 334 and 299 is 6<extra_id_0>3,3
The sum of <extra_id_0>34 and 299 is 633,3
The sum of 919 and 1<extra_id_0>5 is 1044,2
The sum of 919 and 125 is <extra_id_0>044,1
The sum of 725 and 924 is 16<extra_id_0>9,4
The sum of 7<extra_id_0>5 and 924 is 1649,2
The sum of 130 and 910 is 1<extra_id_0>40,0
The sum of 1<extra_id_0>0 and 910 is 1040,3
The sum of 9<extra_id_0>6 and 844 is 1810,6
The sum of 966 and 844 is 18<extra_id_0>0,1
The sum of 432 and 660 is <extra_id_0>092,1
The sum of 432 and 6<extra_id_0>0 is 1092,6
The sum of <extra_id_0>38 and 431 is 769,3
The sum of 338 and 431 is <extra_id_0>69,7
The sum of 6<extra_id_0>2 and 974 is 1606,3
The sum of 632 and 974 is 16<extra_id_0>6,0
The sum of 860 and 431 is 1<extra_id_0>91,2
The sum of 8<extra_id_0>0 and 431 is 1291,6
The sum of 160 and <extra_id_0>3 is 233,7
The sum of 160 and 73 is <extra_id_0>33,2
The sum of <extra_id_0>2 and 974 is 986,1
The sum of 12 and 9<extra_id_0>4 is 986,7
The sum of <extra_id_0>22 and 589 is 911,3
The sum of 322 and <extra_id_0>89 is 911,5
The sum of 753 and <extra_id_0>87 is 1740,9
